,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-02-01,星期一,3℃,-6℃,良,59,晴~多云,东北风1-2级
1,2018-01-02,星期二,2℃,-5℃,优,49,阴~多云,东北风1-2级
2,2018-01-03,星期三,2℃,-5℃,优,28,多云,北风1-2级
3,2018-01-04,星期四,0℃,-8℃,优,28,阴,东北风1-2级
4,2018-01-05,星期五,3℃,-6℃,优,50,多云~晴,西北风1-2级
5,2018-01-06,星期六,2℃,-5℃,优,32,多云~阴,西南风1-2级
6,2018-01-07,星期日,2℃,-4℃,良,59,阴~多云,西南风1-2级
7,2018-01-08,星期一,2℃,-6℃,优,50,晴,西北风4-5级
8,2018-01-09,星期二,1℃,-8℃,优,34,晴,西北风3-4级
9,2018-01-10,星期三,-2℃,-10℃,优,26,晴,西北风1-2级
10,2018-01-11,星期四,-1℃,-10℃,优,24,晴,北风1-2级
11,2018-01-12,星期五,2℃,-8℃,良,75,晴,西南风1-2级
12,2018-01-13,星期六,3℃,-7℃,轻度污染,126,多云,南风1-2级
13,2018-01-14,星期日,6℃,-5℃,中度污染,187,晴~多云,西北风1-2级
14,2018-01-15,星期一,2℃,-5℃,优,47,阴,东南风1-2级
15,2018-01-16,星期二,4℃,-5℃,轻度污染,112,多云,南风1-2级
16,2018-01-17,星期三,6℃,-7℃,良,82,多云~晴,西北风1-2级
17,2018-01-18,星期四,5℃,-6℃,良,80,晴,西南风1-2级
18,2018-01-19,星期五,7℃,-4℃,轻度污染,115,晴,南风1-2级
19,2018-01-20,星期六,3℃,-6℃,良,64,晴~多云,东风1-2级
20,2018-01-21,星期日,0℃,-5℃,良,63,阴~小雪,东北风1-2级
21,2018-01-22,星期一,-3℃,-10℃,优,47,小雪~多云,东风1-2级
22,2018-01-23,星期二,-4℃,-12℃,优,31,晴,西北风3-4级
23,2018-01-24,星期三,-4℃,-11℃,优,34,晴,西南风1-2级
24,2018-01-25,星期四,-3℃,-11℃,优,27,多云,东北风1-2级
25,2018-01-26,星期五,-3℃,-10℃,优,39,晴~多云,南风1-2级
26,2018-01-27,星期六,-1℃,-9℃,轻度污染,105,多云,南风1-2级
27,2018-01-28,星期日,-1℃,-9℃,良,55,晴,西北风3-4级
28,2018-01-29,星期一,1℃,-8℃,良,57,晴,西北风1-2级
29,2018-01-30,星期二,4℃,-7℃,优,36,晴,西北风1-2级
30,2018-01-31,星期三,3℃,-8℃,良,60,晴,西南风1-2级
